"id","aname","created_at","updated_at"
"1","goat","2023-08-13 13:36:12.246418","2023-08-13 13:36:12.246418"
"2","cockroach","2023-08-13 13:36:12.258977","2023-08-13 13:36:12.258977"
"3","sea lion","2023-08-13 13:36:12.265263","2023-08-13 13:36:12.265263"
"4","beetle","2023-08-13 13:36:12.273367","2023-08-13 13:36:12.273367"
"5","cricket","2023-08-13 13:36:12.279691","2023-08-13 13:36:12.279691"
"6","raccoon","2023-08-13 13:36:12.287632","2023-08-13 13:36:12.287632"
"7","trout","2023-08-13 13:36:12.294547","2023-08-13 13:36:12.294547"
"8","rat","2023-08-13 13:36:12.303493","2023-08-13 13:36:12.303493"
"9","baboon","2023-08-13 13:36:12.310209","2023-08-13 13:36:12.310209"
"10","zebra","2023-08-13 13:36:12.317491","2023-08-13 13:36:12.317491"
"11","goldfish","2023-08-13 13:36:12.325139","2023-08-13 13:36:12.325139"
"12","pig","2023-08-13 13:36:12.3321","2023-08-13 13:36:12.3321"
"13","toad","2023-08-13 13:36:12.339626","2023-08-13 13:36:12.339626"
"14","crocodile","2023-08-13 13:36:12.346371","2023-08-13 13:36:12.346371"
"15","whale","2023-08-13 13:36:12.353003","2023-08-13 13:36:12.353003"
"16","coyote","2023-08-13 13:36:12.360643","2023-08-13 13:36:12.360643"
"17","lion","2023-08-13 13:36:12.36766","2023-08-13 13:36:12.36766"
"18","salmon","2023-08-13 13:36:12.375323","2023-08-13 13:36:12.375323"
"19","cod","2023-08-13 13:36:12.382188","2023-08-13 13:36:12.382188"
"20","hyena","2023-08-13 13:36:12.390251","2023-08-13 13:36:12.390251"
"21","dog","2023-08-13 13:36:12.397677","2023-08-13 13:36:12.397677"
"22","hamster","2023-08-13 13:36:12.405066","2023-08-13 13:36:12.405066"
"23","prairie dog","2023-08-13 13:36:12.41251","2023-08-13 13:36:12.41251"
"24","woodchuck","2023-08-13 13:36:12.419708","2023-08-13 13:36:12.419708"
"25","chimpanzee","2023-08-13 13:36:12.427079","2023-08-13 13:36:12.427079"
"26","fly","2023-08-13 13:36:12.434654","2023-08-13 13:36:12.434654"
"27","prairie dog","2023-08-13 13:36:12.44261","2023-08-13 13:36:12.44261"
"28","jackal","2023-08-13 13:36:12.449336","2023-08-13 13:36:12.449336"
"29","alligator","2023-08-13 13:36:12.457441","2023-08-13 13:36:12.457441"
"30","llama","2023-08-13 13:36:12.46379","2023-08-13 13:36:12.46379"
"31","gerbil","2023-08-13 13:36:12.471565","2023-08-13 13:36:12.471565"
"32","gorilla","2023-08-13 13:36:12.478942","2023-08-13 13:36:12.478942"
"33","wasp","2023-08-13 13:36:12.485417","2023-08-13 13:36:12.485417"
"34","toad","2023-08-13 13:36:12.493555","2023-08-13 13:36:12.493555"
"35","dolphin","2023-08-13 13:36:12.500316","2023-08-13 13:36:12.500316"
"36","jellyfish","2023-08-13 13:36:12.508767","2023-08-13 13:36:12.508767"
"37","cockroach","2023-08-13 13:36:12.515427","2023-08-13 13:36:12.515427"
"38","minnow","2023-08-13 13:36:12.523517","2023-08-13 13:36:12.523517"
"39","ape","2023-08-13 13:36:12.529962","2023-08-13 13:36:12.529962"
"40","shark","2023-08-13 13:36:12.537293","2023-08-13 13:36:12.537293"
"41","sheep","2023-08-13 13:36:12.545428","2023-08-13 13:36:12.545428"
"42","crow","2023-08-13 13:36:12.552145","2023-08-13 13:36:12.552145"
"43","ox","2023-08-13 13:36:12.559366","2023-08-13 13:36:12.559366"
"44","ape","2023-08-13 13:36:12.566104","2023-08-13 13:36:12.566104"
"45","sardine","2023-08-13 13:36:12.575306","2023-08-13 13:36:12.575306"
"46","marten","2023-08-13 13:36:12.582361","2023-08-13 13:36:12.582361"
"47","koala","2023-08-13 13:36:12.590498","2023-08-13 13:36:12.590498"
"48","hippopotamus","2023-08-13 13:36:12.597617","2023-08-13 13:36:12.597617"
"49","chimpanzee","2023-08-13 13:36:12.609332","2023-08-13 13:36:12.609332"
"50","platypus","2023-08-13 13:36:12.620386","2023-08-13 13:36:12.620386"
"51","hamster","2023-08-13 13:36:12.628456","2023-08-13 13:36:12.628456"
"52","seal","2023-08-13 13:36:12.635606","2023-08-13 13:36:12.635606"
